/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/torch/functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4381.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[swinir_wo_li] step 11000/20000 g=1.4670 pix=0.0349 1.86 it/s
[swinir_wo_li] step 11100/20000 g=1.6491 pix=0.0529 1.86 it/s
[swinir_wo_li] step 11200/20000 g=1.7960 pix=0.0622 1.86 it/s
[swinir_wo_li] step 11300/20000 g=1.6565 pix=0.0650 1.86 it/s
[swinir_wo_li] step 11400/20000 g=1.6203 pix=0.0505 1.86 it/s
[swinir_wo_li] step 11500/20000 g=1.5284 pix=0.0478 1.86 it/s
[swinir_wo_li] step 11600/20000 g=1.8287 pix=0.0676 1.86 it/s
[swinir_wo_li] step 11700/20000 g=1.4942 pix=0.0426 1.86 it/s
[swinir_wo_li] step 11800/20000 g=1.4965 pix=0.0424 1.86 it/s
[swinir_wo_li] step 11900/20000 g=1.3672 pix=0.0424 1.86 it/s
[swinir_wo_li] step 12000/20000 g=1.4778 pix=0.0481 1.86 it/s
[swinir_wo_li] step 12100/20000 g=1.5216 pix=0.0615 1.86 it/s
[swinir_wo_li] step 12200/20000 g=1.6934 pix=0.0614 1.86 it/s
[swinir_wo_li] step 12300/20000 g=1.5242 pix=0.0499 1.86 it/s
[swinir_wo_li] step 12400/20000 g=1.4598 pix=0.0431 1.86 it/s
[swinir_wo_li] step 12500/20000 g=1.6445 pix=0.0515 1.86 it/s
[swinir_wo_li] step 12600/20000 g=1.9381 pix=0.0786 1.86 it/s
[swinir_wo_li] step 12700/20000 g=1.5380 pix=0.0409 1.86 it/s
[swinir_wo_li] step 12800/20000 g=1.7666 pix=0.0581 1.86 it/s
[swinir_wo_li] step 12900/20000 g=1.8351 pix=0.0590 1.86 it/s
[swinir_wo_li] step 13000/20000 g=1.8544 pix=0.0548 1.86 it/s
[swinir_wo_li] step 13100/20000 g=1.5275 pix=0.0495 1.86 it/s
[swinir_wo_li] step 13200/20000 g=1.7927 pix=0.0609 1.86 it/s
[swinir_wo_li] step 13300/20000 g=1.5871 pix=0.0514 1.86 it/s
[swinir_wo_li] step 13400/20000 g=1.9617 pix=0.0717 1.86 it/s
[swinir_wo_li] step 13500/20000 g=1.8234 pix=0.0566 1.86 it/s
[swinir_wo_li] step 13600/20000 g=1.5219 pix=0.0560 1.86 it/s
[swinir_wo_li] step 13700/20000 g=1.7433 pix=0.0566 1.86 it/s
[swinir_wo_li] step 13800/20000 g=1.4791 pix=0.0439 1.86 it/s
[swinir_wo_li] step 13900/20000 g=1.9602 pix=0.0699 1.86 it/s
[swinir_wo_li] step 14000/20000 g=1.4590 pix=0.0418 1.86 it/s
[swinir_wo_li] step 14100/20000 g=1.5803 pix=0.0429 1.86 it/s
[swinir_wo_li] step 14200/20000 g=1.6157 pix=0.0582 1.86 it/s
[swinir_wo_li] step 14300/20000 g=1.2497 pix=0.0380 1.86 it/s
[swinir_wo_li] step 14400/20000 g=1.6715 pix=0.0600 1.86 it/s
[swinir_wo_li] step 14500/20000 g=1.4364 pix=0.0378 1.86 it/s
[swinir_wo_li] step 14600/20000 g=1.7833 pix=0.0551 1.86 it/s
[swinir_wo_li] step 14700/20000 g=1.6258 pix=0.0594 1.86 it/s
[swinir_wo_li] step 14800/20000 g=1.6108 pix=0.0456 1.86 it/s
[swinir_wo_li] step 14900/20000 g=1.7988 pix=0.0553 1.86 it/s
[swinir_wo_li] step 15000/20000 g=1.7225 pix=0.0555 1.86 it/s
[swinir_wo_li] step 15000 VAL_L1=0.05959 (best 0.05974@5000)
[swinir_wo_li] step 15100/20000 g=1.5161 pix=0.0459 1.86 it/s
[swinir_wo_li] step 15200/20000 g=1.6337 pix=0.0543 1.86 it/s
[swinir_wo_li] step 15300/20000 g=1.4899 pix=0.0447 1.86 it/s
[swinir_wo_li] step 15400/20000 g=1.6756 pix=0.0422 1.86 it/s
[swinir_wo_li] step 15500/20000 g=1.4788 pix=0.0447 1.86 it/s
[swinir_wo_li] step 15600/20000 g=1.9548 pix=0.0595 1.86 it/s
[swinir_wo_li] step 15700/20000 g=1.6470 pix=0.0469 1.86 it/s
[swinir_wo_li] step 15800/20000 g=1.4700 pix=0.0444 1.86 it/s
[swinir_wo_li] step 15900/20000 g=1.5242 pix=0.0510 1.86 it/s
[swinir_wo_li] step 16000/20000 g=1.7113 pix=0.0552 1.86 it/s
[swinir_wo_li] step 16100/20000 g=1.6528 pix=0.0539 1.86 it/s
[swinir_wo_li] step 16200/20000 g=1.7527 pix=0.0573 1.86 it/s
[swinir_wo_li] step 16300/20000 g=1.6215 pix=0.0580 1.86 it/s
[swinir_wo_li] step 16400/20000 g=1.6365 pix=0.0469 1.86 it/s
[swinir_wo_li] step 16500/20000 g=1.5514 pix=0.0479 1.86 it/s
[swinir_wo_li] step 16600/20000 g=1.4811 pix=0.0428 1.86 it/s
[swinir_wo_li] step 16700/20000 g=1.5768 pix=0.0473 1.86 it/s
[swinir_wo_li] step 16800/20000 g=1.6500 pix=0.0486 1.86 it/s
[swinir_wo_li] step 16900/20000 g=1.5711 pix=0.0517 1.86 it/s
[swinir_wo_li] step 17000/20000 g=1.6491 pix=0.0515 1.86 it/s
[swinir_wo_li] step 17100/20000 g=1.4299 pix=0.0466 1.86 it/s
[swinir_wo_li] step 17200/20000 g=1.5375 pix=0.0447 1.86 it/s
[swinir_wo_li] step 17300/20000 g=1.5925 pix=0.0431 1.86 it/s
[swinir_wo_li] step 17400/20000 g=1.5645 pix=0.0463 1.86 it/s
[swinir_wo_li] step 17500/20000 g=1.4858 pix=0.0379 1.86 it/s
[swinir_wo_li] step 17600/20000 g=1.5667 pix=0.0547 1.86 it/s
[swinir_wo_li] step 17700/20000 g=1.8648 pix=0.0623 1.86 it/s
[swinir_wo_li] step 17800/20000 g=1.6584 pix=0.0599 1.86 it/s
[swinir_wo_li] step 17900/20000 g=1.8346 pix=0.0604 1.86 it/s
[swinir_wo_li] step 18000/20000 g=1.5221 pix=0.0503 1.86 it/s
[swinir_wo_li] step 18100/20000 g=2.0295 pix=0.0702 1.86 it/s
[swinir_wo_li] step 18200/20000 g=1.8822 pix=0.0678 1.86 it/s
[swinir_wo_li] step 18300/20000 g=1.7097 pix=0.0516 1.86 it/s
[swinir_wo_li] step 18400/20000 g=1.6690 pix=0.0487 1.86 it/s
[swinir_wo_li] step 18500/20000 g=1.5052 pix=0.0486 1.86 it/s
[swinir_wo_li] step 18600/20000 g=1.6546 pix=0.0483 1.86 it/s
[swinir_wo_li] step 18700/20000 g=1.6088 pix=0.0524 1.86 it/s
[swinir_wo_li] step 18800/20000 g=1.6594 pix=0.0553 1.86 it/s
[swinir_wo_li] step 18900/20000 g=1.7572 pix=0.0521 1.86 it/s
[swinir_wo_li] step 19000/20000 g=1.6957 pix=0.0511 1.86 it/s
[swinir_wo_li] step 19100/20000 g=1.3728 pix=0.0358 1.86 it/s
[swinir_wo_li] step 19200/20000 g=1.4133 pix=0.0336 1.86 it/s
[swinir_wo_li] step 19300/20000 g=1.4867 pix=0.0473 1.86 it/s
[swinir_wo_li] step 19400/20000 g=1.7618 pix=0.0589 1.86 it/s
[swinir_wo_li] step 19500/20000 g=1.5848 pix=0.0548 1.86 it/s
[swinir_wo_li] step 19600/20000 g=1.5114 pix=0.0409 1.86 it/s
[swinir_wo_li] step 19700/20000 g=1.4202 pix=0.0439 1.86 it/s
[swinir_wo_li] step 19800/20000 g=2.0467 pix=0.0725 1.86 it/s
[swinir_wo_li] step 19900/20000 g=1.4310 pix=0.0494 1.86 it/s
[swinir_wo_li] step 20000/20000 g=1.3007 pix=0.0418 1.86 it/s
[swinir_wo_li] step 20000 VAL_L1=0.05730 (best 0.05959@15000)
[swinir_wo_li/final] Set5: PSNR 25.55 SSIM 0.7201 (105 tiles, 5 imgs)
[swinir_wo_li/final] Set14: PSNR 23.62 SSIM 0.6379 (668 tiles, 14 imgs)
[swinir_wo_li/final] BSD100: PSNR 23.91 SSIM 0.5902 (3500 tiles, 100 imgs)
[swinir_wo_li/final] Urban100: PSNR 22.55 SSIM 0.5833 (18221 tiles, 100 imgs)
[swinir_wo_li/final] Manga109: PSNR 24.21 SSIM 0.7224 (23504 tiles, 109 imgs)
[swinir_wo_li/best] Set5: PSNR 25.55 SSIM 0.7201 (105 tiles, 5 imgs)
[swinir_wo_li/best] Set14: PSNR 23.62 SSIM 0.6379 (668 tiles, 14 imgs)
[swinir_wo_li/best] BSD100: PSNR 23.91 SSIM 0.5902 (3500 tiles, 100 imgs)
[swinir_wo_li/best] Urban100: PSNR 22.55 SSIM 0.5833 (18221 tiles, 100 imgs)
[swinir_wo_li/best] Manga109: PSNR 24.21 SSIM 0.7224 (23504 tiles, 109 imgs)
