job,stage,condition,seed,metric,value,source
patchmnist/A_seed44,patchmnist,A,44,min_train_mse,0.035432081669569016,jobs/patchmnist/A_seed44/attempt_001/metrics/run_summary.json
patchmnist/A_seed44,patchmnist,A,44,final_train_mse,0.0360925911962986,jobs/patchmnist/A_seed44/attempt_001/metrics/run_summary.json
patchmnist/B_seed44,patchmnist,B,44,test_mse,0.007900536922117075,jobs/patchmnist/B_seed44/attempt_001/metrics/run_summary.json
patchmnist/B_seed44,patchmnist,B,44,test_ssim,0.9249491729736328,jobs/patchmnist/B_seed44/attempt_001/metrics/run_summary.json
patchmnist/B_seed44,patchmnist,B,44,best_val_mse,0.007779364548623562,jobs/patchmnist/B_seed44/attempt_001/metrics/run_summary.json
patchmnist/B_seed44,patchmnist,B,44,best_train_mse,0.007817273959517479,jobs/patchmnist/B_seed44/attempt_001/metrics/run_summary.json
patchmnist/B_seed44,patchmnist,B,44,min_train_mse,0.007817273959517479,jobs/patchmnist/B_seed44/attempt_001/metrics/run_summary.json
patchmnist/B_seed44,patchmnist,B,44,final_train_mse,0.00782294281075398,jobs/patchmnist/B_seed44/attempt_001/metrics/run_summary.json
patchmnist/C_seed44,patchmnist,C,44,test_mse,0.006791138857603073,jobs/patchmnist/C_seed44/attempt_001/metrics/run_summary.json
patchmnist/C_seed44,patchmnist,C,44,test_ssim,0.9361289650599162,jobs/patchmnist/C_seed44/attempt_001/metrics/run_summary.json
patchmnist/C_seed44,patchmnist,C,44,best_val_mse,0.006712385701636473,jobs/patchmnist/C_seed44/attempt_001/metrics/run_summary.json
patchmnist/C_seed44,patchmnist,C,44,best_train_mse,0.006329425610601902,jobs/patchmnist/C_seed44/attempt_001/metrics/run_summary.json
patchmnist/C_seed44,patchmnist,C,44,min_train_mse,0.006329425610601902,jobs/patchmnist/C_seed44/attempt_001/metrics/run_summary.json
patchmnist/C_seed44,patchmnist,C,44,final_train_mse,0.006213673857351144,jobs/patchmnist/C_seed44/attempt_001/metrics/run_summary.json
patchmnist/D_seed44,patchmnist,D,44,test_mse,0.006227985272804896,jobs/patchmnist/D_seed44/attempt_001/metrics/run_summary.json
patchmnist/D_seed44,patchmnist,D,44,test_ssim,0.9423461759885152,jobs/patchmnist/D_seed44/attempt_001/metrics/run_summary.json
patchmnist/D_seed44,patchmnist,D,44,best_val_mse,0.006136107937743267,jobs/patchmnist/D_seed44/attempt_001/metrics/run_summary.json
patchmnist/D_seed44,patchmnist,D,44,best_train_mse,0.005832884460687637,jobs/patchmnist/D_seed44/attempt_001/metrics/run_summary.json
patchmnist/D_seed44,patchmnist,D,44,min_train_mse,0.005724185146391392,jobs/patchmnist/D_seed44/attempt_001/metrics/run_summary.json
patchmnist/D_seed44,patchmnist,D,44,final_train_mse,0.005600763237724702,jobs/patchmnist/D_seed44/attempt_001/metrics/run_summary.json
upsampling/s128_n600_transpose_conv_seed42,upsampling,s128_n600_transpose_conv,42,test_mse,0.03835432793696721,jobs/upsampling/s128_n600_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n600_transpose_conv_seed42,upsampling,s128_n600_transpose_conv,42,test_ssim,0.695004068215688,jobs/upsampling/s128_n600_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n600_transpose_conv_seed42,upsampling,s128_n600_transpose_conv,42,best_val_mse,0.03842518911759059,jobs/upsampling/s128_n600_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n600_transpose_conv_seed42,upsampling,s128_n600_transpose_conv,42,final_val_mse,0.038784443775812784,jobs/upsampling/s128_n600_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n600_locality_aware_seed42,upsampling,s128_n600_locality_aware,42,test_mse,0.01619164637227853,jobs/upsampling/s128_n600_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n600_locality_aware_seed42,upsampling,s128_n600_locality_aware,42,test_ssim,0.848427464167277,jobs/upsampling/s128_n600_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n600_locality_aware_seed42,upsampling,s128_n600_locality_aware,42,best_val_mse,0.01610138627390067,jobs/upsampling/s128_n600_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n600_locality_aware_seed42,upsampling,s128_n600_locality_aware,42,final_val_mse,0.01610138627390067,jobs/upsampling/s128_n600_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n3000_transpose_conv_seed42,upsampling,s128_n3000_transpose_conv,42,test_mse,0.03614214524626732,jobs/upsampling/s128_n3000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n3000_transpose_conv_seed42,upsampling,s128_n3000_transpose_conv,42,test_ssim,0.7013194828033448,jobs/upsampling/s128_n3000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n3000_transpose_conv_seed42,upsampling,s128_n3000_transpose_conv,42,best_val_mse,0.0360937440097332,jobs/upsampling/s128_n3000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
