/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/torch/functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4381.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[swinir_with_li] step 11500/20000 g=1.4700 pix=0.0421 1.86 it/s
[swinir_with_li] step 11600/20000 g=1.7121 pix=0.0520 1.86 it/s
[swinir_with_li] step 11700/20000 g=1.4088 pix=0.0313 1.86 it/s
[swinir_with_li] step 11800/20000 g=1.3553 pix=0.0362 1.86 it/s
[swinir_with_li] step 11900/20000 g=1.3308 pix=0.0385 1.86 it/s
[swinir_with_li] step 12000/20000 g=1.4064 pix=0.0403 1.86 it/s
[swinir_with_li] step 12100/20000 g=1.4553 pix=0.0533 1.86 it/s
[swinir_with_li] step 12200/20000 g=1.5825 pix=0.0511 1.86 it/s
[swinir_with_li] step 12300/20000 g=1.3665 pix=0.0385 1.86 it/s
[swinir_with_li] step 12400/20000 g=1.3311 pix=0.0344 1.86 it/s
[swinir_with_li] step 12500/20000 g=1.5452 pix=0.0451 1.86 it/s
[swinir_with_li] step 12600/20000 g=1.7926 pix=0.0642 1.86 it/s
[swinir_with_li] step 12700/20000 g=1.4052 pix=0.0302 1.86 it/s
[swinir_with_li] step 12800/20000 g=1.6607 pix=0.0484 1.86 it/s
[swinir_with_li] step 12900/20000 g=1.7324 pix=0.0475 1.86 it/s
[swinir_with_li] step 13000/20000 g=1.7005 pix=0.0488 1.86 it/s
[swinir_with_li] step 13100/20000 g=1.4194 pix=0.0382 1.86 it/s
[swinir_with_li] step 13200/20000 g=1.6301 pix=0.0446 1.86 it/s
[swinir_with_li] step 13300/20000 g=1.4516 pix=0.0396 1.86 it/s
[swinir_with_li] step 13400/20000 g=1.8619 pix=0.0585 1.86 it/s
[swinir_with_li] step 13500/20000 g=1.7192 pix=0.0493 1.86 it/s
[swinir_with_li] step 13600/20000 g=1.3883 pix=0.0412 1.86 it/s
[swinir_with_li] step 13700/20000 g=1.5998 pix=0.0405 1.86 it/s
[swinir_with_li] step 13800/20000 g=1.3566 pix=0.0375 1.86 it/s
[swinir_with_li] step 13900/20000 g=1.8094 pix=0.0557 1.86 it/s
[swinir_with_li] step 14000/20000 g=1.3211 pix=0.0342 1.86 it/s
[swinir_with_li] step 14100/20000 g=1.4541 pix=0.0325 1.86 it/s
[swinir_with_li] step 14200/20000 g=1.4824 pix=0.0458 1.86 it/s
[swinir_with_li] step 14300/20000 g=1.1884 pix=0.0302 1.86 it/s
[swinir_with_li] step 14400/20000 g=1.5686 pix=0.0476 1.86 it/s
[swinir_with_li] step 14500/20000 g=1.3434 pix=0.0324 1.86 it/s
[swinir_with_li] step 14600/20000 g=1.6363 pix=0.0415 1.86 it/s
[swinir_with_li] step 14700/20000 g=1.4940 pix=0.0492 1.86 it/s
[swinir_with_li] step 14800/20000 g=1.4776 pix=0.0368 1.86 it/s
[swinir_with_li] step 14900/20000 g=1.7124 pix=0.0433 1.86 it/s
[swinir_with_li] step 15000/20000 g=1.6318 pix=0.0417 1.86 it/s
[swinir_with_li] step 15000 VAL_L1=0.04814 (best 0.05035@10000)
[swinir_with_li] step 15100/20000 g=1.4489 pix=0.0416 1.86 it/s
[swinir_with_li] step 15200/20000 g=1.5211 pix=0.0448 1.86 it/s
[swinir_with_li] step 15300/20000 g=1.3637 pix=0.0367 1.86 it/s
[swinir_with_li] step 15400/20000 g=1.5217 pix=0.0343 1.86 it/s
[swinir_with_li] step 15500/20000 g=1.3701 pix=0.0369 1.86 it/s
[swinir_with_li] step 15600/20000 g=1.7565 pix=0.0488 1.86 it/s
[swinir_with_li] step 15700/20000 g=1.5330 pix=0.0399 1.86 it/s
[swinir_with_li] step 15800/20000 g=1.3618 pix=0.0343 1.86 it/s
[swinir_with_li] step 15900/20000 g=1.3876 pix=0.0410 1.86 it/s
[swinir_with_li] step 16000/20000 g=1.6310 pix=0.0399 1.86 it/s
[swinir_with_li] step 16100/20000 g=1.4635 pix=0.0418 1.86 it/s
[swinir_with_li] step 16200/20000 g=1.5970 pix=0.0425 1.86 it/s
[swinir_with_li] step 16300/20000 g=1.4460 pix=0.0457 1.86 it/s
[swinir_with_li] step 16400/20000 g=1.5139 pix=0.0406 1.86 it/s
[swinir_with_li] step 16500/20000 g=1.4325 pix=0.0403 1.86 it/s
[swinir_with_li] step 16600/20000 g=1.3796 pix=0.0341 1.86 it/s
[swinir_with_li] step 16700/20000 g=1.4545 pix=0.0350 1.86 it/s
[swinir_with_li] step 16800/20000 g=1.5077 pix=0.0387 1.86 it/s
[swinir_with_li] step 16900/20000 g=1.4805 pix=0.0433 1.86 it/s
[swinir_with_li] step 17000/20000 g=1.4972 pix=0.0406 1.86 it/s
[swinir_with_li] step 17100/20000 g=1.3301 pix=0.0408 1.86 it/s
